339,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
339,"t","Snap Bean Production, Price, and Value by Utilization – States and United States: 2017-2019"
339,"h","","","",""
339,"h","","Utilized production","Utilized production","Utilized production"
339,"h","Utilization and State","","",""
339,"h","","2017","2018","2019"
339,"h","","","",""
339,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
339,"d","Fresh Market",,,
339,"d","California","(D)","(D)","(D)"
339,"d","Delaware 1/","(D)","(D)","(NA)"
339,"d","Florida",1424.3,950.8,"(D)"
339,"d","Georgia","(D)",469.8,"(D)"
339,"d","Illinois",6.0,144.1,69.3
339,"d","Indiana 1/","(D)","(D)","(NA)"
339,"d","Maryland 1/","(D)","(D)","(NA)"
339,"d","Michigan",202.9,158.3,261.1
339,"d","Minnesota",6.9,34.1,29.1
339,"d","New Jersey 1/","(D)",117.6,"(NA)"
339,"d","",,,
339,"d","New York","(D)",202.0,233.7
339,"d","North Carolina 1/","(D)","(D)","(NA)"
339,"d","Oregon","(D)","(D)","(D)"
339,"d","Pennsylvania","(D)",84.7,44.1
339,"d","Tennessee 1/","(D)","(D)","(NA)"
339,"d","Texas 1/","(D)",196.0,"(NA)"
339,"d","Washington 1/","(D)","(D)","(NA)"
339,"d","Wisconsin",105.0,317.5,342.3
339,"d","",,,
339,"d","Other States 2/",2025.9,1188.0,2148.9
339,"d","",,,
339,"d","United States",3771.0,3862.9,3128.5
339,"h","","","",""
339,"h","","Utilized production","Utilized production","Utilized production"
339,"h","Utilization and State","","",""
339,"h","","2017","2018","2019"
339,"h","","","",""
339,"u","","(tons)","(tons)","(tons)"
339,"d","Processing",,,
339,"d","California","(D)","(D)","(D)"
339,"d","Delaware 1/","(D)","(D)","(NA)"
339,"d","Florida",7417,21114,"(D)"
339,"d","Georgia","(D)",4474,"(D)"
339,"d","Illinois",29700,32833,39827
339,"d","Indiana 1/","(D)","(D)","(NA)"
339,"d","Maryland 1/","(D)","(D)","(NA)"
339,"d","Michigan",78765,60333,66947
339,"d","Minnesota",24083,9066,14680
339,"d","New Jersey 1/","(D)",-,"(NA)"
339,"d","",,,
339,"d","New York","(D)",95101,94774
339,"d","North Carolina 1/","(D)","(D)","(NA)"
339,"d","Oregon","(D)","(D)","(D)"
339,"d","Pennsylvania","(D)",17529,22252
339,"d","Tennessee 1/","(D)","(D)","(NA)"
339,"d","Texas 1/","(D)",-,"(NA)"
339,"d","Washington 1/","(D)","(D)","(NA)"
339,"d","Wisconsin",322875,300990,294037
339,"d","",,,
339,"d","Other States 2/",250593,117673,138052
339,"d","",,,
339,"d","United States",713433,659113,670569
339,"c",""
339,"c","See footnote(s) at end of table.","--continued"
