89,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
89,"t","Sweet Potato Production, Price, and Value by Utilization – States and United States: 2017-2019"
89,"t","[Estimates began in 2019]"
89,"h","","","",""
89,"h","","Utilized production","Utilized production","Utilized production"
89,"h","Utilization and State","","",""
89,"h","","2017","2018","2019"
89,"h","","","",""
89,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
89,"d","Fresh market",,,
89,"d","Arkansas 1/","(NA)","(NA)","(NA)"
89,"d","California","(NA)","(NA)",7745.2
89,"d","Florida 1/","(NA)","(NA)","(NA)"
89,"d","Louisiana 1/","(NA)","(NA)","(NA)"
89,"d","Mississippi","(NA)","(NA)",2344.4
89,"d","North Carolina","(NA)","(NA)",14225.1
89,"d","",,,
89,"d","Other States 2/","(NA)","(NA)",-
89,"d","",,,
89,"d","United States","(NA)","(NA)",24314.7
89,"h","","","",""
89,"h","","Utilized production","Utilized production","Utilized production"
89,"h","Utilization and State","","",""
89,"h","","2017","2018","2019"
89,"h","","","",""
89,"u","","(tons)","(tons)","(tons)"
89,"d","Processing",,,
89,"d","Arkansas 1/","(NA)","(NA)","(NA)"
89,"d","California","(NA)","(NA)",18791
89,"d","Florida 1/","(NA)","(NA)","(NA)"
89,"d","Louisiana 1/","(NA)","(NA)","(NA)"
89,"d","Mississippi","(NA)","(NA)",95906
89,"d","North Carolina","(NA)","(NA)",261836
89,"d","",,,
89,"d","Other States 2/","(NA)","(NA)",-
89,"d","",,,
89,"d","United States","(NA)","(NA)",376533
89,"h","","","","","","",""
89,"h","","Price Per cwt","Price Per cwt","Price Per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
89,"h","Utilization and State","","","","","",""
89,"h","","2017","2018","2019","2017","2018","2019"
89,"h","","","","","","",""
89,"u","","(dollars per cwt)","(dollars per cwt)","(dollars per cwt)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
89,"d","Fresh market",,,,,,
89,"d","Arkansas 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
89,"d","California","(NA)","(NA)",23.70,"(NA)","(NA)",183561
89,"d","Florida 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
89,"d","Louisiana 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
89,"d","Mississippi","(NA)","(NA)",27.50,"(NA)","(NA)",64471
89,"d","North Carolina","(NA)","(NA)",18.00,"(NA)","(NA)",256052
89,"d","",,,,,,
89,"d","Other States 2/","(NA)","(NA)","(X)","(NA)","(NA)",-
89,"d","",,,,,,
89,"d","United States","(NA)","(NA)",20.70,"(NA)","(NA)",504084
89,"h","","","","","","",""
89,"h","","Price Per cwt","Price Per cwt","Price Per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
89,"h","Utilization and State","","","","","",""
89,"h","","2017","2018","2019","2017","2018","2019"
89,"h","","","","","","",""
89,"u","","(dollars per ton)","(dollars per ton)","(dollars per ton)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
89,"d","Processing",,,,,,
89,"d","Arkansas 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
89,"d","California","(NA)","(NA)",302.00,"(NA)","(NA)",5675
89,"d","Florida 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
89,"d","Louisiana 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
89,"d","Mississippi","(NA)","(NA)",110.00,"(NA)","(NA)",10550
89,"d","North Carolina","(NA)","(NA)",259.00,"(NA)","(NA)",67816
89,"d","",,,,,,
89,"d","Other States 2/","(NA)","(NA)","(X)","(NA)","(NA)",-
89,"d","",,,,,,
89,"d","United States","(NA)","(NA)",223.00,"(NA)","(NA)",84041
89,"c",""
89,"f","-  Represents zero."
89,"f","(NA)  Not available."
89,"f","(X)  Not applicable."
89,"f","1/ Estimates discontinued in 2019."
89,"f","2/ Includes data withheld above."
