358,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
358,"t","Bell Pepper Production, Price, and Value by Utilization – States and United States: 2017-2019"
358,"h","","","",""
358,"h","","Utilized production","Utilized production","Utilized production"
358,"h","Utilization and State","","",""
358,"h","","2017","2018","2019"
358,"h","","","",""
358,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
358,"d","Fresh market",,,
358,"d","California",4480.9,4835.7,2970.0
358,"d","Florida",4020.0,3570.0,3481.0
358,"d","Georgia",986.0,848.0,1104.8
358,"d","Michigan","(D)","(D)","(D)"
358,"d","New Jersey","(D)",865.8,924.0
358,"d","New York 1/",97.3,154.0,"(NA)"
358,"d","North Carolina","(D)","(D)","(D)"
358,"d","Ohio 1/","(D)",280.0,"(NA)"
358,"d","Pennsylvania 1/","(D)","(D)","(NA)"
358,"d","",,,
358,"d","Other States 2/",2419.7,981.1,1023.7
358,"d","",,,
358,"d","United States",12003.9,11534.6,9503.5
358,"h","","","",""
358,"h","","Utilized production","Utilized production","Utilized production"
358,"h","Utilization and State","","",""
358,"h","","2017","2018","2019"
358,"h","","","",""
358,"u","","(tons)","(tons)","(tons)"
358,"d","Processing",,,
358,"d","California",101172,61965,121500
358,"d","Florida",-,-,-
358,"d","Georgia",-,-,-
358,"d","Michigan","(D)","(D)","(D)"
358,"d","New Jersey","(D)",3179,5933
358,"d","New York 1/",-,-,"(NA)"
358,"d","North Carolina","(D)","(D)","(D)"
358,"d","Ohio 1/","(D)",-,"(NA)"
358,"d","Pennsylvania 1/","(D)","(D)","(NA)"
358,"d","",,,
358,"d","Other States 2/",8293,1336,1899
358,"d","",,,
358,"d","United States",109465,66480,129332
358,"h","","","","","","",""
358,"h","","Price per unit","Price per unit","Price per unit","Value of utilized production","Value of utilized production","Value of utilized production"
358,"h","Utilization and State","","","","","",""
358,"h","","2017","2018","2019","2017","2018","2019"
358,"h","","","","","","",""
358,"u","","(dollars per cwt)","(dollars per cwt)","(dollars per cwt)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
358,"d","Fresh market",,,,,,
358,"d","California",54.50,39.20,50.40,244209,189559,149688
358,"d","Florida",47.00,50.60,67.50,188940,180642,234968
358,"d","Georgia",44.20,47.30,49.30,43581,40110,54467
358,"d","Michigan","(D)","(D)","(D)","(D)","(D)","(D)"
358,"d","New Jersey","(D)",44.80,47.50,"(D)",38788,43890
358,"d","New York 1/",53.40,54.90,"(NA)",5196,8455,"(NA)"
358,"d","North Carolina","(D)","(D)","(D)","(D)","(D)","(D)"
358,"d","Ohio 1/","(D)",43.00,"(NA)","(D)",12040,"(NA)"
358,"d","Pennsylvania 1/","(D)","(D)","(NA)","(D)","(D)","(NA)"
358,"d","",,,,,,
358,"d","Other States 2/",42.40,42.30,39.00,102575,41468,39930
358,"d","",,,,,,
358,"d","United States",48.70,44.30,55.00,584501,511062,522943
358,"c",""
358,"c","See footnote(s) at end of table.","--continued"
